nombre;isin ;retrocesion
M-G JAPAN SMALL COMP A ACC EUR;LU1670715975;0,85%
M-G OPTIMAL INCOME FUND AH ACC EUR;LU1670724373;0,60%
MILLESIMA SELEC 2028 A ACC EUR  ;FR001400JGB5;0,51%
Morgan Stanley Investment Funds - Asia Equity Fund A;LU0073229253;0,70%
MPP AUDAZ GLOBAL;N5424 (DGS);0,69%
MS ASIA OPPORTUNITY A ACC USD;LU1378878430;0,79%
MS GLB INFRASTRUCTURE A AC USD;LU0384381660;0,75%
MS GLOBAL BRANDS FND A ACC EUR;LU0119620416;0,79%
MS GLOBAL OPPORTUNITY A ACC USD;LU0552385295;0,79%
MUTUAFONDO 2025, FI CLASE D;ES0165154008;0,29%
MUTUAFONDO A ACC EUR;ES0165151038;0,06%
NORDEA EMERGING STARS EQUITY BP ACC EUR;LU0607983896;0,71%
NORDEA EUROPEAN CROSS CREDIT BP ACC EUR;LU0772958525;0,48%
NORDEA GLB CLIMATE AND ENVIR BP ACC EUR;LU0348926287;0,71%
NORDEA GLB CLIMATE AND ENVIR E ACC EUR;LU0348927095;1,45%
Ofi Invest Precious Metals R;FR0011170182;0,60%
Olea Neutral FI;ES0118537002;0,82%
ORIENTAL INCOME AT ACC EUR;LU0348784041;0,75%
OSSIAM SHILLER BARCLAYS CAPE;LU2743151057;0,60%
PACIFIC EQUITY ACC C USD   ;IE0031333341;2,08%
PAN EURO P HIGH INC A AC EUR;LU0243957239;0,62%
PAN EUROP HIGH INC E ACC EUR;LU0243957742;1,07%
PANDA AGRICULTURE WATER FUND;ES0114633003;0,95%
PET AND ANIMAL WELLBE AT AC EU;LU1931535931;0,88%
PICTET ROBOTICS R ACC EUR;LU1279334483;1,47%
Pictet-Premium Brands P EUR;LU0217139020;0,80%
Pictet-Timber P EUR;LU0340559557;0,80%
PIMCO HIGH YIELD BOND E ACC USD;IE00B11XZ871;0,71%
PLAN DE PENSIONES RENTA 4 GLOBAL ACCIONE;N4196 (DGS);0,71%
POLAR CAPITA L HEALTHCARE OPPS;IE00B3NLSS43;0,50%
POLAR CAPITAL BIOTECHNOLOGY R ACC EUR;IE00B78R4C06;0,49%
POLAR CAPITAL GLOBAL INSURANCE R EUR;IE00B52B6D44;0,49%
PPI EQUILIBRADO EPSV;V1030 (DGS);0,71%
R VALOR C EUR;FR0011253624;0,71%
R VALOR F ACC EUR  ;FR0011261197;0,99%
RAM (Lux) Systematic Funds - Emerging Markets Equities;LU0835722488;1,00%
RAM LUX EMERG MKTS EQUITIES O ACC EUR;LU0175323400;0,98%
RENTA 4 AVANTAGE FUND FI B ACC EUR;ES0105001004;0,30%
RENTA 4 GLOBAL ALLOCATION FI;ES0173321003;0,00%
RENTA 4 PEGASUS CLASE R FI;ES0173322001;0,38%
RENTA 4 RENTA FIJA CORTO PLA;ES0176954008;0,27%
RENTA 4 WERTEFINDER, FI;ES0173323009;0,53%
RENTA FIJA FLEXIBLE A ACC EUR;ES0173315005;0,53%
ROBECO ASIA PACIFIC EQUITIES D ACC EUR;LU0084617165;0,74%
Robeco BP Global Premium Equities D EUR;LU0203975437;0,60%
ROBECO EMERGING STARS EQUITIES D ACC EUR;LU0254836850;0,74%
ROBECO GLOBAL CONSUMER TRENDS EQ D EUR;LU0187079347;0,80%
ROBECO GLOBAL STARS EQUITIES D ACC EUR;LU0387754996;0,62%
ROBECO HIGH YIELD BONDS D ACC EUR;LU0063042062;0,54%
RUFFER TOTAL RETURN INTERNAT OI ACC EUR;LU0638558550;0,39%
SAM SUSTAINABLE WATER E D ACC;LU2146190835;0,80%
Santalucía Renta Fija B FI;ES0170138038;0,45%
Santalucía Renta Fija Corto Plazo Euro B FI;ES0170156030;0,13%
SANTALUCIA VP GESTION DECIDIDO PPSI;N0103 (DGS);0,76%
SANTALUCIA VP MIXTO PRUDENTE PPSI;N0101 (DGS);0,99%
Schroder International Selection Fund Emerging Asia A Accumulation EUR;LU0248172537;0,70%
SCHRODER ISF ALL CHINA EQUITY B ACC EUR;LU2000523212;0,72%
SCHRODER ISF EMERGING ASIA A ACC EUR;LU0181496216;0,72%
SCHRODER ISF GLB CLIMATE CHG EQ A AC EUR;LU0302445910;0,72%
SCHRODER ISF GLB ENERGY TRANS A ACC EURH;LU1983299162;0,72%
SCHRODER ISF GLOBAL HIGH YIELD B AC EURH;LU0232465384;0,93%
Schroder ISF Global Smlr Coms;LU0279460892;0,99%
SEILERN WORLD GROWTH;IE00B2NXKW18;0,65%
SEXTANT GRAND LARGE A;FR0010286013;0,75%
SHORT DURATION CRD A ACC EUR   ;FR0013460920;0,34%
SHORT DURATION CRD B DIS EUR;FR0013460961;0,00%
Sigma Investment House FCP Best Blackrock ;LU1899018953;1,35%
Sigma Investment House FCP Best JP Morgan ;LU1697018494;1,35%
Sigma Investment House FCP Best M&G ;LU1899018870;1,35%
Sigma Investment House FCP Best Morgan Stanley ;LU1697018064;1,35%
Sigma Investment House FCP European Equities ;LU0986194024;2,50%
Sigma Investment House FCP Global Sustainable Impact ;LU1899019175;1,65%
Sigma Investment House FCP Investment House FCP Balanced ;LU0842066523;1,90%
Sigma Investment House FCP Multiperfil Agresivo ;LU1697016019;1,35%
Sigma Investment House FCP Multiperfil Dinámico ;LU1697017686;1,30%
Sigma Investment House FCP Multiperfil Inversión ;LU1697017256;1,25%
Sigma Investment House FCP Multiperfil Moderado ;LU1697016365;0,65%
Sigma Investment House FCP Short-Mid Term ;LU0447425785;0,20%
