isin,name,asset_type,asset_subtype,region_primary,risk_bucket,classification_confidence,exposure_confidence,warnings,audit_flags,is_suitable_low_risk,is_sector_fund,sector_focus,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
LU1254412460,abrdn SICAV I - Indian Bond Fund A Acc EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,LONG,RF,RF Otros,0.0,100.0,0.0,0.0
LU1299306321,Carmignac Portfolio Sécurité AW EUR Acc,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,SHORT,RF,RF Diversificada Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1340702932,MFS Meridian Funds - Global Opportunistic Bond Fund A1 EUR,FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,Otros,Global Flexible Bond - USD Hedged,0.0,100.0,0.0,0.0
LU1353951376,AXA World Funds - Global Inflation Short Duration Bonds E Capitalisation EUR (Hedged),UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,QQQQ,0.0,0.0,0.0,0.0
LU1362999481,Robeco High Yield Bonds D €,FIXED_INCOME,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,SHORT,RF,RF Bonos Alto Rendimiento Global,0.0,100.0,0.0,0.0
LU1373035234,BlackRock Strategic Funds - BSF Systematic Style Factor Fund E2 EUR Hedged,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,Alt - Multistrategy,0.0,0.0,0.0,0.0
LU1383852487,Allianz Global Investors Fund - Allianz Floating Rate Notes Plus VarioZins AT2 EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,SHORT,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1481583711,Flossbach von Storch - Bond Opportunities RT,FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,LONG,Otros,Global Flexible Bond - EUR Hedged,0.0,100.0,0.0,0.0
LU1486845537,ODDO BHF Euro Credit Short Duration CR-EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,UNKNOWN,RF,RF Bonos Alto Rendimiento EUR,0.0,100.0,0.0,0.0
LU1499628912,Amundi S.F. - Diversified Short-Term Bond Select E EUR ND,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Diversificada Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1529955046,Eurizon Fund - Bond Aggregate RMB Class R EUR Acc,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,QQQ,0.0,0.0,0.0,0.0
LU1582984149,M&G (Lux) European Inflation Linked Corporate Bond Fund EUR A Acc,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,SHORT,RF,RF Bonos Ligados Inflación EUR,0.0,100.0,0.0,0.0
LU1623762843,Carmignac Pf Credit A EUR Acc,FIXED_INCOME,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,MEDIUM,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
LU1670631016,M&G (Lux) Emerging Markets Bond Fund EUR A Acc,FIXED_INCOME,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,MEDIUM,RF,RF Global Emergente,0.0,100.0,0.0,0.0
LU1670631289,M&G (Lux) Emerging Markets Bond Fund EUR A-H Acc,FIXED_INCOME,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,MEDIUM,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1694789451,DNCA Invest Alpha Bonds A EUR,FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,MEDIUM,Otros,Global Flexible Bond,0.0,100.0,0.0,0.0
LU1697013008,SIH FCP - Flexible Fixed Income USD,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FLEXIBLE,RF,RF Flexible USD,0.0,100.0,0.0,0.0
