audit_id,generated_at_utc,isin,doc_id,name,field_path,current_asset_mix,proposed_asset_mix,current_sum,proposed_sum,fix_rule,confidence,source_confidence,write_allowed,validation_ok,precondition_current_sum_0_95_1_05,precondition_proposed_sum_95_105,classification_asset_type,classification_asset_subtype,derived_asset_class
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1548497699,LU1548497699,Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0023, ""cash"": 0.0266, ""equity"": 0.9659, ""other"": 0.0052}","{""bond"": 0.23, ""cash"": 2.66, ""equity"": 96.59, ""other"": 0.52}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1578889864,LU1578889864,Ninety One Global Strategy Fund - Global Gold Fund A Acc EUR Hedged(Reference),portfolio_exposure_v2.asset_mix,"{""bond"": 0.0001, ""cash"": 0.0051, ""equity"": 0.9948, ""other"": 0.0}","{""bond"": 0.01, ""cash"": 0.51, ""equity"": 99.48, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1582988306,LU1582988306,M&G (Lux) Dynamic Allocation Fund EUR B Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.3872, ""cash"": 0.3599, ""equity"": 0.2032, ""other"": 0.0497}","{""bond"": 38.72, ""cash"": 35.99, ""equity"": 20.32, ""other"": 4.97}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,allocation,FLEXIBLE_ALLOCATION,Mixto
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1623762843,LU1623762843,Carmignac Pf Credit A EUR Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.7216, ""cash"": 0.2374, ""equity"": 0.0242, ""other"": 0.0168}","{""bond"": 72.16, ""cash"": 23.74, ""equity"": 2.42, ""other"": 1.68}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,CORPORATE_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1665237704,LU1665237704,M&G (Lux) Global Listed Infrastructure Fund EUR A Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0001, ""cash"": 0.0248, ""equity"": 0.8979, ""other"": 0.0772}","{""bond"": 0.01, ""cash"": 2.48, ""equity"": 89.79, ""other"": 7.72}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1670618187,LU1670618187,M&G (Lux) Asian Fund EUR A Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0084, ""equity"": 0.9916, ""other"": 0.0}","{""bond"": 0.0, ""cash"": 0.84, ""equity"": 99.16, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1670618690,LU1670618690,M&G (Lux) Global Emerging Markets Fund EUR A Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0003, ""cash"": 0.0349, ""equity"": 0.9648, ""other"": 0.0}","{""bond"": 0.03, ""cash"": 3.49, ""equity"": 96.48, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1670626446,LU1670626446,M&G (Lux) Japan Fund EUR A Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0197, ""equity"": 0.9803, ""other"": 0.0}","{""bond"": 0.0, ""cash"": 1.97, ""equity"": 98.03, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1670707527,LU1670707527,M&G (Lux) European Strategic Value Fund EUR A Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0617, ""equity"": 0.9383, ""other"": 0.0}","{""bond"": 0.0, ""cash"": 6.17, ""equity"": 93.83, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1670710075,LU1670710075,M&G (Lux) Global Dividend Fund EUR A Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0001, ""cash"": 0.0071, ""equity"": 0.9928, ""other"": 0.0}","{""bond"": 0.01, ""cash"": 0.71, ""equity"": 99.28, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
